text,label,prediction(label),confidence(fear),confidence(joy),confidence(love),confidence(sadness),confidence(anger)
takan ragukan besarnya kasih sayang tuhan ,,sadness,0.0,0.0,0.0,1.0,0.0
cebong dungu maksd hati pengen cari kesalahan username username lwat pohon plastik kebongkar skandalnya kasian ahok gantipresiden ,,anger,0.0,0.0,0.0,0.0,1.0
,,love,0.0,0.0,1.0,0.0,0.0
melody membatasi member dibales mentionnya dikenal ,,anger,0.0,0.0,0.0,0.0,1.0
amarah membuatku meluapkan ,,anger,0.0,0.0,0.0,0.0,1.0
error,,fear,1.0,0.0,0.0,0.0,0.0
terima kasih mommy jesica kepercayaan username treatment kehamilan semoga sehat lancar ,,sadness,0.0,7.620548220555179e-134,0.0,1.0,0.0
seminggu nunggu ,,joy,0.0,1.0,0.0,0.0,0.0
,,love,0.0,0.0,1.0,0.0,0.0
semoga tuhan senantiasa menyertai langkahmu ,,fear,1.0,0.0,0.0,0.0,0.0
tenganan festival festival pariwisata unggulan karangasem memiliki tagline karangasemthespiritofbali menjanjikan keunikan adat tradisi budaya adiluhung live event tradisi perang pandan mendunia ,,joy,0.0,1.0,0.0,0.0,0.0
ngerti bayangkan sulit melototi apbd rinci untung gubernurnya ,,fear,1.0,0.0,0.0,0.0,0.0
situasi membuatmu marah merubah aliran timebender ,,sadness,0.0,0.0,0.0,1.0,0.0
kelas,,love,0.0,0.0,1.0,0.0,0.0
username rumah dimana rindu berpulang ,,sadness,0.0,0.0,0.0,1.0,0.0
username namanya kerja profesional ,,anger,0.0,0.0,0.0,0.0,1.0
namanya keberpihakan username username program unggulan okeh ngoce melibatkan warga mengisi tong sampah biar sampah jakarta berasa sampah jerman ,,joy,0.0,1.0,0.0,0.0,0.0
selamat ulang istriku semoga sehat umur ,,joy,0.0,1.0,0.0,0.0,0.0
bagus tindakan hebat sebentar tunjangan hakim ,,anger,0.0,0.0,0.0,0.0,1.0
marah memenuhi pikiranmu sulit berpikir rasional blindedbyanger ,,anger,0.0,0.0,0.0,0.0,1.0
